user_id	tweet_id	text	label
231597325	7.48201330460631e+17	RT @Circa_LPN: hey @XavierWoodsPhD .... what's going on here?!?  (((╹д╹;))) https://t.co/hjmaGh1zqQ	0.0
2190420108	7.546989463925596e+17	(((NEW VIDEO))) @Time2LiveEnt interviews #hiphop group @TripleSMG https://t.co/qZLHrntkWQ #videointerview #theindiemovement #t2letv #vbmg	0.0
2190420108	7.54039741738197e+17	(((Hot New Freestyle))) Ft Mally King of @TripleSMG ~ https://t.co/CAQW9hLvLH Backstage @fillmoress #makesound #dmv	0.0
548007350	7.567814949920768e+17	"(((random))) internet outage again.
Oy vey shut it down!"	1.0
548007350	7.555562315325112e+17	"@Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))"	1.0
113526237	7.72977366805033e+17	@drawn2theWaters In any event, as always: ((((hugs)))) ❤️	0.0
113526237	7.442194200929935e+17	@Mrs_Smith_68 I know it's been rough dear. And all I can do is offer you did you told hugs from across the world (((❤️)))	0.0
716664192	7.476205660735447e+17	@MiniLaddd get a man that can do both (((o(*ﾟ▽ﾟ*)o)))	0.0
716664192	7.178930770426634e+17	@DylonShow @hikikomoriamy pokemon snap (((o(*ﾟ▽ﾟ*)o))) https://t.co/MzEwwmldYv	0.0
732203043412946944	8.026466593981276e+17	(((Crowder))) The Coward https://t.co/yXx7x8br6j	1.0
732203043412946944	8.030157962933084e+17	Weev Nails Down the (((Alt-Right))) Question https://t.co/M7o4Fnvkck	1.0
69628745	8.07957740740051e+17	Gotten your tickets for #Olic3 yet? #DontDull it promises to be (((🔥HOT🔥))). Tickets on @nairabox https://t.co/3DPD2H0oJ4 #15daysToOLIC3 https://t.co/eMFGG1gx2Z	0.0
745696207608111104	7.457177446629417e+17	RT @shannonNTIL: There will be new videos SOON! Who's excited?? (((hopefully some of u lol)))	0.0
193109777	7.389424966889021e+17	"RT @urbit_: FYI: neither Urbit nor Curtis (((Yarvin))) has anything to do with the ""coincidence detector."""	1.0
3125373419	7.994566613163418e+17	@LJAstoria (((Hugs)))	0.0
3125373419	7.947010321022362e+17	@firingouty family can be the worst. (((hugs)))	0.0
3180796201	7.765922622643036e+17	RT @Clausfarre143: Sick Hillary's campaign all washed up... How low will the (((media))) go to save her now? #WR #hillness https://t.co/vci…	1.0
3180796201	8.100889020903219e+17	RT @ObamaMalik: ((((((((((CNN))))))))))	1.0
562644486	7.829961391801221e+17	@mimiitsyou madali lang bes talaga wala lang akong time pumunta sa inyo dahil sa time na walang pasok ako pupunta akong main (((*may-ari)))	0.0
562644486	7.486648494758543e+17	"1. twice (((because)))
2. got7
3. baek a yeon
4. 15&amp;
5. miss a or wonder girls??????"	0.0
3041151908	8.035801986921349e+17	@ChaN_630 ((( ....KOK GRANDMA TAU TANGAN AKU KEPENTOK PINTU KEMARIN?? WAH SYANG CERITA YA???  )))	0.0
3041151908	7.897240472946729e+17	(((((Sepresi))))) https://t.co/Q2ViJomHBE	0.0
4315359853	6.786393542191145e+17	Celebrating the animated debut of the Serious Punch with a sketch! (((o(*ﾟ▽ﾟ*)o))) https://t.co/HoQPvxZ9lG	0.0
4315359853	6.84452759970558e+17	@Troloze Okay! Thank you! (((o(*ﾟ▽ﾟ*)o)))	0.0
1954309514	7.26048404833325e+17	@MTD1954 Will Ferrell is the goyish medium for (((JUDD APATOW))) and (((LORNE LIPOWITZ))).	1.0
1954309514	7.135296807212769e+17	RT @ramzpaul: ((( Sanders ))) https://t.co/Oui8xLAxTM	1.0
2841912582	8.050764969813565e+17	خصوصاً ان ويز خليفه مو اي شيء تسحبين عليه (((ايقونة هيبهوب))) وش كان ضرها لو طلعت وغنّت؟المفروض انها مشّت الموضوع وتكون متعودة على هيك اشياء	0.0
2841912582	8.050823030221128e+17	(((ديفرنت ستيج ذان ماي)))!!!!!. https://t.co/4t31YyBlVR	0.0
2444507647	8.107622385123738e+17	Yanhe and Tianyi have such busy schedules lately I hardly get to see them ((((；゜Д゜)))	0.0
2444507647	8.075007421854884e+17	Sometimes Yanhe brings her friends over for dinner, they're so cute (((o(*ﾟ▽ﾟ*)o)))	0.0
21035662	7.321501607137444e+17	@angel_reads (((hugs))) hope you're okay x	0.0
38050876	7.47825063357911e+17	RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
150923186	8.070519293523436e+17	#DumpStarWars is a good start, but dumping all of (((Hollywood))) would be better	1.0
150923186	7.554994737956782e+17	Cucked Journalist wonders why @DRUDGE didn't try to stop Trump.   Drudge must not have got the (((globalist))) memo https://t.co/2ZLyzZAEOz	1.0
215090206	3.804475484835963e+17	((((Tonight and Every Wednesday Night!))) Coming out and Turn Up!! 🍗🍸🍹🍷🍗🍸🍹🍷🍗 http://t.co/3SCoCn0ea0	0.0
215090206	5.076829287518044e+17	#BackToSchool Edition (((Limited Time Only))) Grey/ Burgundy Jersey Sports Bra and 86 Pen skirt… http://t.co/4RIcfeOHnP	0.0
897354042	7.404747174973481e+17	RT @missellabell: Excellent thread about this ((( ))) thing.  https://t.co/CkLJgbNEAY	2.0
262223965	7.483200708714496e+17	RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
41800301	7.910334443316429e+17	"@JLDouglas1 BUT

BUT JL

(((( they're real ))))"	0.0
41551028	7.392306785549066e+17	RT @acroll: Why everyone has (((brackets))) around their names. https://t.co/0Q7MY1nMBu	2.0
1964463866	7.344267577812009e+17	@casuteria yes man we need to (((( block ))))	0.0
1964463866	7.06136742089384e+17	"omg hahaha I just heard my brother shouting, ""oh my god mom!! Tallia ((( our bird ))) ate chicken!!!!"""	0.0
720366349202104320	7.360913642412032e+17	"RT @sandyJ_00: --------------&gt;  he ,,,  is 

((((((((( . @illuminati_00 . ))))))))) ... https://t.co/xaKSd5eEwG"	0.0
720366349202104320	7.360909965433897e+17	RT @Merry___Xmas: -------------&gt;  #merry Christmas from ((((((((( . @illuminati_00 . ))))))))) https://t.co/xpVjXD8LIU	0.0
99453848	7.913851790256087e+17	(((Adzan)))	0.0
99453848	7.198360523959255e+17	((((adzan))))	0.0
726404565860392961	7.484114606366679e+17	(((the child is my younger brother)))	0.0
14062664	7.362132628202004e+17	@tanaford Awwwww Tana, on your latest podcast. Your crying made me cry 😢😢💚💚. You're so sweet (((hugs))) #hodor	0.0
533692270	7.446028860599992e+17	"RT @jdayandnight: chair set: 

(((ft some uncomf f21 nip covers but oh well))))) https://t.co/07zfyb5lOj"	0.0
2831586907	8.056980565995643e+17	@frayserclick these (((parentheses))) are hugging your words	0.0
762913633	7.541033672327414e+17	(((real talk though im like. feeling really good rn??? first the scholarship thing and now a lil side job and book is going well??? :D ??)))	0.0
762913633	7.483012932701143e+17	(((someone tell me not to get my nose pierced otherwise im 100% gonna do it)))	0.0
2725749255	7.430370810233528e+17	"@thekellyford 
Good Wednesday morning Ms Kelly 
(((💛)))"	0.0
393902394	7.763334020519772e+17	what do i watch after this. i'm gonna miss Kangchul and his heart-melting smile (damn i hate(((love)))) that smile) https://t.co/V3WUMtWWJm	0.0
393902394	7.549889686686474e+17	"""Your hand fits in mine like it's made just for me,
But bear this in mind, it was meant to be""
 ♪♪(((≧▽≦)八(≧▽≦)))♪♪ https://t.co/fmXYXaRYEX"	0.0
627030254	7.374220604444754e+17	(((blessing the timeline))) https://t.co/UAPGottAjA	0.0
2446265132	6.544900099662766e+17	"Happy (late)  birthday for my talented friend @ralviariyan !
(((*°▽°*)八(*°▽°*)))

Because batman is a… https://t.co/C7Vrl9i4Bj"	0.0
2446265132	4.825491361267753e+17	Aku spam di twitter aja yah ((((；ﾟДﾟ))))))) Panic attack ketika lo gak ngelakuin trus ngaku2 ngelakuin hal yang jelasnya salah banget--- MAK	0.0
158921667	7.296413127066501e+17	I'm such a disgraceful to my family I should buy natto and burry myself in it ((((feeling ashamed))))	0.0
158921667	4.459142855462748e+17	@AlisonMcs yass homu homu (((o(*ﾟ▽ﾟ*)o)))	0.0
487381324	7.456476239110226e+17	"((((( BREAKING NEWS )))))
Denham Town High School Alumni Association Dthsaa Ne Chapter presents;
. https://t.co/IDAMNkkk7z"	0.0
487381324	3.3325999352252826e+17	((((( MOTHERS OF THE UNIVERSE ))))) ARE WE READY TO REBEL FOR A CAUSE??? ARE WE READY TO GET UP... STAND UP...... http://t.co/JAmstsbdTF	0.0
706717110022504448	7.485476541042688e+17	"RT @Doornebuzz: ((( 🔔 ))) TALK OF WEEKDAYS AND @TheSims 4 ((( 🔔 )))

https://t.co/LoIXDkye89"	0.0
836560944	7.389078262575309e+17	"kylie kendall kendall kylie
(((this song is dope)))"	0.0
2761236985	7.399482446424637e+17	Live(((FREE)))Kansas City Royals vs Baltimore Orioles live streaming online #royals #bhive https://t.co/Z6oGrFUt0G	0.0
2655092398	7.441514108922225e+17	this song makes me :())))))))((())))///// https://t.co/PjIiA2oH6e	0.0
2851818728	8.079014929340457e+17	#StuffMyStockingWith Zyklon B. I have some (((pests))) to deal with.	1.0
2851818728	8.019845504654008e+17	I knew the Alt-Right had been infiltrated by (((them)))	1.0
801539671	5.758682734992056e+17	#LRT Just lifted me so...things aren't as bad as they seem. *Winds body &amp; whispers (((My Neck, My Back)))*	0.0
801539671	7.436521545864643e+17	She really should've waited for the replay before tweeting. *whispers* (((Your husband fouled out toots.)))	0.0
1140981482	7.526382828324168e+17	"#MusicMonday 
(((Spotlight Artist)))
@BossmanTr3nt"	0.0
1140981482	7.627707025419182e+17	"#MusicMonday 
(((Featured Artist)))
@WES_KARDIGAN"	0.0
4753735634	7.014118775620936e+17	RT @CorOfTheSUN: @_Eve_Sins @just_some_lady  (((🤗Healing friendship Hugs🤗))) 😊☀🌞It's the day of the SUN (Sunday!)🌞☀😊 Enjoy a great day!	0.0
